,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2000,55.841,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
1,2001,56.308,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
2,2002,56.784,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
3,2003,57.271,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
4,2004,57.772,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
5,2005,58.29,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
6,2006,58.826,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
7,2007,59.375,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
8,2008,59.93,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
9,2009,60.484,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
10,2010,61.028,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
11,2011,61.553,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
12,2012,62.054,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
13,2013,62.525,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
14,2014,62.966,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
15,2015,63.377,SP.DYN.LE00.IN,AFG,Afghanistan,South Asia,Low income,IDA
16,2000,73.955,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
17,2001,74.288,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
18,2002,74.579,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
19,2003,74.828,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
20,2004,75.039,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
21,2005,75.228,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
22,2006,75.423,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
23,2007,75.646,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
24,2008,75.912,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
25,2009,76.221,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
26,2010,76.562,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
27,2011,76.914,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
28,2012,77.252,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
29,2013,77.554,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
30,2014,77.813,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
31,2015,78.025,SP.DYN.LE00.IN,ALB,Albania,Europe & Central Asia,Upper middle income,IBRD
32,2000,70.64,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
33,2001,71.116,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
34,2002,71.605,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
35,2003,72.101,SP.DYN.LE00.IN,DZA,Algeria,Middle East & North Africa,Lower middle income,IBRD
